timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post
1639929600000,6105840,451.132,586.6439,451.132,516.1683,119.0547,29.98,69.38,4480332882.0,300.0,217503.0
1640016000000,1936545,509.0417,524.014,497.6577,506.5499,-9.6004,-1.86,22.0,1389552944.0,,
1640102400000,1780118,498.6971,543.9271,480.6422,531.2117,24.6686,4.87,20.23,1281475113.0,,
1640188800000,649190,523.9926,535.3909,509.7537,530.5781,-0.6375,-0.12,7.38,476856189.0,,
1640275200000,793118,527.9368,527.9795,479.9302,486.0458,-44.514,-8.39,9.01,553064314.0,,
1640534400000,678151,480.6351,506.8204,472.1059,485.9747,-0.0486,-0.01,7.71,466142327.0,,
1640620800000,600113,470.5966,511.8041,470.5966,509.7537,23.7649,4.89,6.82,422250300.0,,
1640707200000,496519,513.9826,534.6433,501.9223,510.4514,0.7136,0.14,5.64,363820721.0,,
1640793600000,374541,502.6342,528.1076,491.2431,496.0701,-14.3951,-2.82,4.26,264419374.0,,
1640880000000,408657,511.7115,524.7045,499.0745,501.2032,5.1098,1.03,4.64,293773590.0,,
1641225600000,715214,505.4108,509.6682,455.6386,469.5714,-31.6255,-6.31,8.13,475266735.0,,
1641312000000,413526,463.2564,474.2916,451.3741,454.9124,-14.6504,-3.12,4.7,266098964.0,,
1641398400000,437777,455.6457,466.3534,441.4068,443.386,-11.5088,-2.53,4.97,276497683.0,,
1641484800000,497000,444.9737,459.2055,429.1044,447.8143,4.4338,1.0,5.65,309062912.0,,
1641744000000,561281,451.3741,487.6833,446.604,466.0259,18.2255,4.07,6.38,368549160.0,,
1641830400000,432962,477.0041,504.0439,477.0041,491.2431,25.2123,5.41,4.92,299159159.0,,
1641916800000,460209,498.3625,504.77,469.8847,483.9029,-7.3192,-1.49,5.23,312752554.0,,
1642003200000,291643,475.509,485.697,467.8414,483.4828,-0.4355,-0.09,3.31,196343736.0,,
1642089600000,487178,482.5431,511.0921,470.9526,511.0921,27.607,5.71,5.54,337882138.0,,
1642348800000,530892,509.0417,551.7585,500.6408,535.3837,24.2775,4.75,6.03,396577102.0,,
1642435200000,293421,529.6953,541.0793,516.1612,520.6037,-14.7765,-2.76,3.33,216789145.0,,
1642521600000,316033,518.297,523.9072,499.701,503.3461,-17.2311,-3.31,3.59,226367632.0,,
1642608000000,395214,499.0745,507.7531,472.0205,479.1542,-24.2119,-4.81,4.49,270602505.0,,
1642694400000,300482,466.3249,502.6271,466.3249,494.4397,15.285,3.19,3.41,206044736.0,,
1642953600000,426351,489.1499,533.2479,487.6833,506.1939,11.7674,2.38,4.84,307440109.0,,
1643040000000,332623,506.1939,528.2643,503.3461,506.2651,0.0506,0.01,3.78,240813044.0,,
1643126400000,337861,511.0494,527.3316,492.8022,497.2875,-8.9606,-1.77,3.84,240389833.0,,
1643212800000,381788,501.7514,525.9149,490.5169,504.77,7.4597,1.5,4.34,272866616.0,,
1643299200000,340927,504.77,504.77,464.5949,473.4444,-31.3476,-6.21,3.87,231057251.0,,
1644163200000,210844,476.9899,493.2223,472.7325,484.1236,10.6994,2.26,2.4,143008753.0,,
1644249600000,580606,491.8411,501.2601,439.513,456.4645,-27.6425,-5.71,6.6,378641166.0,,
1644336000000,249025,459.1343,468.8452,442.8307,467.0725,10.5904,2.32,2.83,159362496.0,,
1644422400000,652357,467.0369,477.8585,410.2236,422.8962,-44.186,-9.46,7.41,394758466.0,,
1644508800000,358480,415.0648,427.1679,398.69,410.0812,-12.8137,-3.03,4.07,209681251.0,,
1644768000000,372933,407.8599,432.8634,402.0646,419.7565,9.6779,2.36,4.24,221159597.0,,
1644854400000,380971,423.6081,448.512,411.5762,443.3718,23.6314,5.63,4.33,234268762.0,,
1644940800000,283793,444.3685,453.2251,425.9077,429.8733,-13.4779,-3.04,3.22,173566201.0,,
1645027200000,413118,429.3037,461.3413,424.3272,452.7125,22.8269,5.31,4.69,259756772.0,,
1645113600000,240882,452.7125,459.9174,445.5147,457.0696,4.3461,0.96,2.74,153238045.0,,
1645372800000,157117,455.6457,462.0461,449.9502,461.3413,4.2509,0.93,1.79,100734908.0,,
1645459200000,269224,461.3199,466.3036,444.9665,453.8374,-7.5201,-1.63,3.06,171692960.0,,
1645545600000,344779,452.0718,489.6768,448.5263,477.8941,24.0535,5.3,3.92,229546410.0,,
1645632000000,337462,478.428,495.3368,470.4827,482.6997,4.8265,1.01,3.83,229330256.0,,
1645718400000,302400,482.6997,523.2664,482.6997,494.8028,12.1155,2.51,3.44,212250941.0,,
1645977600000,443134,494.3756,528.9762,490.3104,528.9762,34.1897,6.91,5.04,321205562.0,,
1646064000000,663533,528.2643,555.3182,515.9832,533.91,4.9196,0.93,7.54,500788249.0,,
1646150400000,404846,534.6148,548.1845,506.1939,535.5688,1.6551,0.31,4.6,297386569.0,,
1646236800000,363853,540.3674,545.9775,519.7209,535.7397,0.1607,0.03,4.13,273159817.0,,
1646323200000,599052,536.0957,536.0957,504.0225,509.7537,-25.9832,-4.85,6.81,432941870.0,,
1646582400000,402860,511.1776,515.1716,489.1143,496.4616,-13.3049,-2.61,4.58,283768531.0,,
1646668800000,386852,496.2979,516.6524,484.1236,494.8028,-1.6383,-0.33,4.4,271684180.0,,
1646755200000,386537,498.3483,525.0178,482.6997,507.5324,12.7168,2.57,4.39,275005926.0,,
1646841600000,506710,523.2806,530.9839,498.4408,526.6339,19.0839,3.76,5.76,369225719.0,,
1646928000000,330113,516.1541,523.1739,491.2431,511.8895,-14.7458,-2.8,3.75,234251328.0,,
1647187200000,237564,505.482,516.1541,487.6833,504.77,-7.1152,-1.39,2.7,168540330.0,,
1647273600000,330592,501.9223,523.9926,490.0327,493.3789,-11.4082,-2.26,3.76,235317138.0,,
1647360000000,368553,498.3483,507.1479,477.0041,506.9059,13.5188,2.74,4.19,255675392.0,,
1647446400000,315915,509.3407,523.423,498.3625,517.5851,10.6954,2.11,3.59,227880384.0,,
1647532800000,199296,516.1612,518.4394,495.5147,499.2169,-18.3745,-3.55,2.26,141454825.0,,
1647792000000,187512,489.1072,514.1037,489.1072,513.2707,14.0773,2.82,2.13,132871502.0,,
1647878400000,203983,506.9059,516.1612,498.3625,509.3977,-3.8494,-0.75,2.32,145552707.0,,
1647964800000,132224,511.6759,514.9295,501.9223,509.7537,0.3566,0.07,1.5,94476073.0,,
1648051200000,367173,501.4025,501.7799,469.4361,473.8004,-35.9364,-7.05,4.17,247516088.0,,
1648137600000,242779,469.9559,473.4373,449.2382,454.5422,-19.2354,-4.06,2.76,156350037.0,,
1648396800000,383798,441.4068,448.512,430.1367,439.9829,-14.5449,-3.2,4.36,236717471.0,,
1648483200000,230554,437.8471,452.7979,432.5146,444.2546,4.2679,0.97,2.62,143186985.0,,
1648569600000,315513,447.8214,483.7819,441.4068,482.6997,38.4294,8.65,3.59,207129259.0,,
1648656000000,148711,477.8727,489.1001,464.9082,469.8847,-12.7909,-2.65,1.69,98454559.0,,
1648742400000,105179,469.728,474.8683,461.4837,466.8019,-3.1014,-0.66,1.2,69243943.0,,
1649174400000,156678,462.7652,469.7423,442.1045,446.3904,-20.3987,-4.37,1.78,98861655.0,,
1649260800000,127277,452.1002,452.1002,431.6175,446.3904,0.0,0.0,1.45,78425445.0,,
1649347200000,94377,441.4638,456.5357,435.0776,442.4747,-3.9283,-0.88,1.07,59147428.0,,
1649606400000,174183,442.1188,442.1188,419.3365,425.0463,-17.4337,-3.94,1.98,103968384.0,,
1649692800000,129597,425.2741,441.4068,418.9805,439.2638,14.1972,3.34,1.47,78332485.0,,
1649779200000,108761,430.7276,443.3219,425.9077,435.6472,-3.6018,-0.82,1.24,66276155.0,,
1649865600000,122448,448.5192,448.5263,423.6153,425.744,-9.8889,-2.27,1.39,73690268.0,,
1649952000000,174748,426.3135,444.9665,406.0943,439.1072,13.3682,3.14,1.99,104775715.0,,
1650211200000,209660,433.2194,472.946,427.7374,470.8244,31.7045,7.22,2.38,134684104.0,,
1650297600000,159742,466.3249,484.0951,462.7652,466.6453,-4.1904,-0.89,1.82,105728520.0,,
1650384000000,286973,469.8847,469.8847,434.2873,437.4911,-29.1661,-6.25,3.26,179443399.0,,
1650470400000,296297,437.4911,444.9737,417.2006,418.6245,-18.8554,-4.31,3.37,178331304.0,,
1650556800000,176174,407.447,425.2385,407.447,410.0812,-8.5399,-2.04,2.0,102842378.0,,
1650816000000,277623,398.69,413.5483,365.5845,367.343,-42.7296,-10.42,3.15,148715094.0,,
1650902400000,229026,363.0927,387.9254,362.3452,370.9241,3.5634,0.97,2.6,120281387.0,,
1650988800000,320343,368.8879,426.3634,364.5166,419.8348,48.9232,13.19,3.64,177594218.0,,
1651075200000,293544,399.466,445.3652,399.466,432.899,13.0571,3.11,3.34,177106875.0,,
1651161600000,217736,441.2502,449.9502,420.0484,442.0903,9.1777,2.12,2.47,133157706.0,,
1651680000000,356163,451.7229,475.5802,447.7858,470.2406,28.1605,6.37,4.05,231792983.0,,
1651766400000,270625,460.6294,476.2139,455.6457,470.2976,0.047,0.01,3.08,176940985.0,,
1652025600000,364900,464.1891,517.5851,464.1891,517.2861,46.9833,9.99,4.15,258162657.0,,
1652112000000,341809,509.6682,535.0776,501.9223,513.5982,-3.6726,-0.71,3.88,249201425.0,,
1652198400000,306348,513.3632,530.9626,511.1776,530.7988,17.2054,3.35,3.48,225036626.0,,
1652284800000,388673,525.4165,541.0793,514.958,528.9762,-1.8047,-0.34,4.42,288004108.0,,
1652371200000,211168,528.9691,528.9762,512.6015,523.2806,-5.7131,-1.08,2.4,154339068.0,,
1652630400000,173502,520.44,533.9598,507.8029,513.3063,-9.9951,-1.91,1.97,125360178.0,,
1652716800000,284845,502.7196,533.8744,502.7196,530.4072,17.0934,3.33,3.24,208474431.0,,
1652803200000,218439,533.8032,551.666,526.8404,536.4517,6.0466,1.14,2.48,164620062.0,,
1652889600000,250603,531.824,552.4705,523.9926,552.143,15.7173,2.93,2.85,191148179.0,,
1652976000000,375635,552.1358,565.9974,528.5562,540.3674,-11.7603,-2.13,4.27,284868003.0,,
1653235200000,481599,544.639,550.3346,527.1109,547.2021,6.809,1.26,5.47,365215567.0,,
1653321600000,248886,541.0793,545.6785,524.7045,524.7045,-22.4897,-4.11,2.83,186508678.0,,
1653408000000,268522,513.4771,530.0014,507.1622,525.6016,0.892,0.17,3.05,196384329.0,,
1653494400000,369939,528.2643,553.1539,516.2039,550.8045,25.2277,4.8,4.2,282430580.0,,
1653580800000,256222,550.8045,576.6766,548.9107,563.1924,12.393,2.25,2.91,203257750.0,,
1653840000000,418648,569.3863,594.4753,563.3846,590.9084,27.7094,4.92,4.76,342016673.0,,
1653926400000,330769,585.9319,624.377,575.1104,622.9532,32.0281,5.42,3.76,278106615.0,,
1654012800000,632861,610.2164,616.389,576.6766,589.4062,-33.5789,-5.39,7.19,522373357.0,,
1654099200000,385319,577.3886,611.9892,572.405,596.6894,7.3083,1.24,4.38,324002245.0,,
1654444800000,528536,601.1961,660.7219,600.1424,650.7191,54.0028,9.05,6.01,470249761.0,,
1654531200000,757427,651.0,668.0,625.51,639.1,-11.61,-1.78,8.61,487850252.0,,
1654617600000,651330,635.0,669.48,616.0,665.0,25.9,4.05,5.29,415392269.0,,
1654704000000,602802,665.01,665.01,618.0,647.0,-18.0,-2.71,4.89,383204788.0,,
1654790400000,527295,630.08,656.0,618.0,655.0,8.0,1.24,4.28,338919783.0,,
1655049600000,395517,647.5,675.93,633.99,673.0,18.0,2.75,3.21,262494880.0,,
1655136000000,665901,668.91,710.0,640.0,706.0,33.0,4.9,5.4,449082890.0,,
1655222400000,688936,702.18,702.18,648.13,662.49,-43.51,-6.16,5.59,458685851.0,,
1655308800000,395386,652.49,673.0,649.0,651.0,-11.49,-1.73,3.21,260448696.0,,
1655395200000,763120,651.0,712.01,644.5,693.01,42.01,6.45,6.19,522730953.0,,
1655654400000,850594,700.07,745.78,672.0,730.0,36.99,5.34,6.56,603018752.0,,
1655740800000,482234,724.3,735.78,693.66,717.99,-12.01,-1.65,3.72,343570819.0,,
1655827200000,608163,714.0,819.99,714.0,796.0,78.01,10.87,4.69,473323082.0,,
1655913600000,597441,793.78,839.85,783.49,830.33,34.33,4.31,4.61,486756151.0,,
1656000000000,484840,825.0,833.88,803.99,829.9,-0.43,-0.05,3.74,395719697.0,,
1656259200000,431216,828.51,839.0,808.14,833.78,3.88,0.47,3.32,354317998.0,600.0,500268.0
1656345600000,421693,830.0,862.0,809.01,845.99,12.21,1.46,3.25,351510929.0,,
1656432000000,403985,830.59,843.78,811.95,824.0,-21.99,-2.6,3.11,332020524.0,200.0,164800.0
1656518400000,442058,827.77,886.0,814.57,871.0,47.0,5.7,3.41,379243311.0,,
1656604800000,482096,867.18,924.99,867.0,889.69,18.69,2.15,3.72,432619547.0,,
1656864000000,480740,886.0,966.69,872.52,954.65,64.96,7.3,3.71,451105511.0,,
1656950400000,313635,957.01,979.99,933.01,973.05,18.4,1.93,2.42,299483075.0,,
1657036800000,265406,968.0,979.68,948.52,974.0,0.95,0.1,2.05,256382539.0,,
1657123200000,647319,974.5,1065.0,955.0,1040.0,66.0,6.78,4.99,667000816.0,,
1657209600000,800507,1040.0,1040.0,914.09,936.05,-103.95,-10.0,6.17,776458378.0,,
1657468800000,542187,937.5,970.52,930.0,960.0,23.95,2.56,4.18,514453019.0,,
1657555200000,850920,960.01,965.8,866.0,873.3,-86.7,-9.03,6.56,761899559.0,,
1657641600000,679440,876.8,911.0,873.3,879.0,5.7,0.65,5.24,604991691.0,,
