timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post
1581955200000,9677517,351.6494,376.4134,333.324,336.8008,230.4035,216.55,73.08,3376591821.0,3400.0,1156034.0
1582041600000,6041367,345.706,361.555,320.942,324.607,-12.1921,-3.62,45.62,2096323244.0,4210.0,1379617.0
1582128000000,3560936,317.8316,329.857,298.3572,304.4986,-20.0922,-6.19,26.89,1116797384.0,1301.0,399927.4
1582214400000,3841990,325.7561,331.8282,305.5883,318.7627,14.2511,4.68,29.01,1229497714.0,1458.0,469184.4
1582473600000,2695873,310.0458,313.0274,293.4638,309.4514,-9.3078,-2.92,20.36,827508866.0,2100.0,656040.0
1582560000000,3106211,299.6548,336.89,298.3572,324.9042,15.4422,4.99,23.46,1011461624.0,200.0,65600.0
1582646400000,2840182,321.9325,326.5882,285.2817,288.7487,-36.1626,-11.13,21.45,864865146.0,874.0,254771.0
1582732800000,2148825,286.2822,291.6808,262.4988,265.4507,-23.3024,-8.07,16.23,589842752.0,588.0,157572.24
1582819200000,1727647,246.6498,265.9658,244.6786,251.6026,-13.857,-5.22,13.05,443505654.0,200.0,50800.0
1583078400000,1662818,260.5177,263.5686,247.8682,254.079,2.4658,0.98,12.56,428709066.0,524.0,134406.0
1583164800000,2044597,259.4281,270.2945,254.5941,256.2682,2.1851,0.86,15.44,540123241.0,388.0,100379.48
1583251200000,1510133,252.5932,254.3762,238.5768,244.2626,-11.9928,-4.68,11.4,375386474.0,300.0,73977.0
1583337600000,1802058,248.7003,266.0648,239.7357,259.329,15.0707,6.17,13.61,461572518.0,1160.0,303688.0
1583424000000,1072697,253.5838,256.4366,247.6503,249.6512,-9.6728,-3.73,8.1,272422255.0,,
1583683200000,1723071,240.8551,247.5215,227.8292,228.2254,-21.4195,-8.58,13.01,411341531.0,400.0,92160.0
1583769600000,1760547,228.8098,242.2418,227.8292,241.697,13.4656,5.9,13.29,419657437.0,1304.0,318176.0
1583856000000,1627966,237.9329,239.706,225.0061,225.0061,-16.702,-6.91,12.29,380451725.0,400.0,90860.0
1583942400000,937943,219.0528,223.966,218.0325,220.7566,-4.2527,-1.89,7.08,209102480.0,,
1584028800000,2010746,208.9094,233.3763,203.0651,226.3136,5.5629,2.52,15.18,452647038.0,200.0,45694.0
1584288000000,1918701,230.8009,244.1734,225.957,227.8292,1.5163,0.67,14.49,455951511.0,500.0,115000.0
1584374400000,1622740,235.7537,241.0334,218.9141,237.1305,9.2957,4.08,12.25,382795911.0,401.0,95995.39
1584460800000,1634918,241.4989,248.7498,233.7725,234.2678,-2.8694,-1.21,12.35,400177661.0,,
1584547200000,1916720,235.7537,251.8206,232.782,251.8008,17.5239,7.48,14.47,472209725.0,1.0,254.2
1584633600000,1566767,253.5838,259.1804,242.6975,245.8574,-5.9425,-2.36,11.83,393886814.0,,
1584892800000,1447549,236.6154,236.6154,210.3259,214.9519,-30.9041,-12.57,10.93,329227596.0,1.0,217.0
1584979200000,1223724,220.2018,222.4801,204.0557,217.4283,2.472,1.15,9.24,264173014.0,400.0,87800.0
1585065600000,972404,225.432,225.432,216.933,218.3198,0.8915,0.41,7.34,216342606.0,397.0,87498.8
1585152000000,980266,215.5462,219.2113,206.9085,207.1264,-11.2002,-5.13,7.4,209779538.0,430.0,89913.0
1585238400000,694852,211.8613,212.9707,203.0651,203.5109,-3.6249,-1.75,5.25,145084461.0,,
1585497600000,919931,196.1312,196.1312,188.8605,192.6345,-10.867,-5.34,6.95,178986139.0,430.0,83622.1
1585584000000,727356,196.2501,201.0741,192.1789,192.7138,0.0771,0.04,5.49,144445988.0,,
1585670400000,686412,191.2081,199.509,189.2468,191.5746,-1.137,-0.59,5.18,134245128.0,,
1585756800000,1118752,190.1977,205.7396,190.1977,205.5415,13.9659,7.29,8.45,225398972.0,200.0,41500.0
1585843200000,728618,203.6297,204.5113,198.5581,198.9048,-6.6391,-3.23,5.5,147511399.0,,
1586188800000,630698,204.7095,205.5217,200.767,201.2821,2.3867,1.2,4.76,128888387.0,,
1586275200000,495699,200.1033,204.6996,199.1128,201.718,0.4428,0.22,3.74,101149817.0,,
1586361600000,651099,203.0255,203.7486,196.1114,196.2005,-5.5273,-2.74,4.92,130301900.0,,
1586448000000,686192,196.5968,197.0029,185.2449,186.3246,-9.8685,-5.03,5.18,131330493.0,,
1586707200000,439360,183.5015,190.069,183.5015,185.5619,-0.7639,-0.41,3.32,82534738.0,,
1586793600000,380983,186.602,190.6831,186.602,188.8209,3.2658,1.76,2.88,72427644.0,355.0,67670.1
1586880000000,489854,189.2072,193.7538,188.385,189.7817,0.963,0.51,3.7,94233472.0,,
1586966400000,299693,187.2161,189.4746,186.2256,188.5831,-1.1956,-0.63,2.26,56837400.0,200.0,38076.0
1587052800000,767678,191.0595,197.0029,190.2869,191.5944,3.0172,1.6,5.8,150316811.0,,
1587312000000,397122,190.6831,193.843,190.6831,191.9708,0.3832,0.2,3.0,77024035.0,,
1587398400000,562237,190.5642,192.0699,184.6209,185.9779,-5.9894,-3.12,4.25,106016718.0,,
1587484800000,600627,184.2445,191.8123,183.7987,191.5746,5.5979,3.01,4.54,115170291.0,,
1587571200000,696760,193.4171,200.7967,193.4171,196.4284,4.847,2.53,5.26,139078893.0,,
1587657600000,772378,196.5175,203.5604,194.3284,203.0255,6.5999,3.36,5.83,156140149.0,200.0,40992.0
1587916800000,851752,204.1547,212.7924,198.6076,201.0543,-1.9693,-0.97,6.43,177981051.0,150.0,30445.5
1588003200000,1253977,198.5085,203.6397,178.3209,202.4807,1.4275,0.71,9.47,243619326.0,,
1588089600000,925577,199.1029,212.9707,198.1123,210.6825,8.2005,4.05,6.99,195546849.0,200.0,42538.0
1588176000000,1585180,212.6637,232.782,211.9802,230.4542,19.7628,9.38,11.97,357664606.0,245.0,56999.25
1588694400000,1773160,225.848,253.0885,225.1249,248.5913,18.1368,7.87,13.39,432929198.0,430.0,107912.8
1588780800000,1307938,248.631,255.4361,236.6353,236.6353,-11.9573,-4.81,9.88,321870956.0,200.0,47778.0
1588867200000,915208,240.7065,246.1546,233.8518,237.3881,0.7572,0.32,6.91,221574489.0,,
1589126400000,1047427,239.7159,246.6498,232.7919,237.3485,-0.0475,-0.02,7.91,254514786.0,,
1589212800000,750870,235.9617,239.2999,228.3244,238.5272,1.1867,0.5,5.67,176642718.0,200.0,48160.0
1589299200000,1302621,237.7348,254.2871,237.7348,248.631,10.1132,4.24,9.84,328409278.0,,
1589385600000,1304045,247.6008,264.47,246.8678,257.546,8.9255,3.59,9.85,340279546.0,,
1589472000000,1665976,260.1413,280.3289,260.1413,270.5422,13.0056,5.05,12.58,456462409.0,200.0,54624.0
1589731200000,2007095,279.3384,287.144,263.5983,273.3554,2.8136,1.04,15.16,557580289.0,400.0,110384.0
1589817600000,1794479,273.5931,297.1388,269.5417,296.6039,23.2363,8.5,13.55,517022920.0,900.0,269487.0
1589904000000,1690891,290.5911,294.8902,265.4705,271.2851,-25.331,-8.54,12.77,480528849.0,,
1589990400000,1354344,266.4611,272.8997,252.8904,252.8904,-18.393,-6.78,10.23,358738955.0,,
1590076800000,1091824,253.5838,262.5087,248.73,257.1399,4.2486,1.68,8.24,282658868.0,200.0,51918.0
1590336000000,901609,254.604,258.1106,241.8357,246.6399,-10.4909,-4.08,6.81,226254829.0,1.0,248.99
1590422400000,820914,247.6305,260.0224,247.6305,258.5564,11.9129,4.83,6.2,212586599.0,,
1590508800000,782533,258.4375,259.3191,248.6409,250.6121,-7.9375,-3.07,5.91,200776813.0,,
1590595200000,1078943,249.7305,255.5649,233.9706,241.697,-8.922,-3.56,8.15,262922744.0,,
1590681600000,623392,238.7253,246.838,238.7253,240.5876,-1.1118,-0.46,4.71,153006917.0,,
1590940800000,1193498,243.8703,271.8938,243.5922,271.7448,31.1562,12.95,9.01,312837967.0,1056.0,288974.4
1591027200000,1425203,271.0894,292.8767,267.1272,283.1747,11.44,4.21,10.76,401108222.0,910.0,259495.6
1591113600000,893602,283.9791,287.8321,272.4698,273.582,-9.5999,-3.39,6.75,250640085.0,,
1591200000000,731524,273.5621,285.1111,272.291,276.144,2.5716,0.94,5.52,205202075.0,400.0,111232.0
1591286400000,962250,276.1539,279.5402,265.1411,270.2851,-5.8542,-2.12,7.27,263353656.0,,
1591545600000,600095,272.5889,282.5193,270.2851,272.9067,2.6218,0.97,4.53,166952077.0,,
1591632000000,670435,272.43,279.5402,266.1342,273.9792,1.0644,0.39,5.06,185687510.0,,
1591718400000,638261,274.5055,276.0546,265.6476,271.0994,-2.8767,-1.05,4.82,173302407.0,300.0,81900.0
1591804800000,1296086,268.6366,275.568,260.3249,260.3249,-10.7622,-3.97,9.79,348708579.0,,
1591891200000,932125,251.2386,263.1551,248.329,258.8751,-1.4579,-0.56,7.04,237668248.0,,
1592150400000,1037816,254.2177,255.0717,243.3539,245.5584,-13.3056,-5.14,7.84,259966127.0,,
1592236800000,744314,248.2496,254.1879,247.5743,253.2148,7.6613,3.12,5.62,188681757.0,200.0,50998.0
1592323200000,971816,256.5812,256.7003,243.1851,250.8315,-2.3802,-0.94,7.34,241345634.0,200.0,50518.0
1592409600000,678771,248.2595,257.9615,245.3896,255.2108,4.3894,1.75,5.13,173595917.0,500.0,128500.0
1592496000000,574058,255.2108,259.3021,252.1125,256.7003,1.4803,0.58,4.33,148079445.0,,
1592755200000,1396029,259.7092,283.0059,259.7092,273.0854,16.3779,6.38,10.54,383594693.0,,
1592841600000,699117,271.6455,279.848,269.1232,274.3367,1.2562,0.46,5.28,193104864.0,,
1592928000000,1270208,274.5353,292.9462,270.7816,288.9741,14.649,5.34,9.59,364430580.0,212.0,61692.0
1593360000000,704524,283.8897,294.7337,281.7249,285.3892,-3.5833,-1.24,5.32,203474793.0,,
1593446400000,873359,289.838,292.4993,282.0228,284.2571,-1.1416,-0.4,6.59,252320140.0,,
1593532800000,1358641,286.4517,300.8409,283.0158,299.3017,15.0376,5.29,10.26,402768385.0,740.0,223036.0
1593619200000,1284948,297.9908,311.3174,295.9452,302.1616,2.8732,0.96,9.7,393522115.0,,
1593705600000,1042874,302.8766,309.8279,287.981,306.1338,3.9585,1.31,7.87,314133646.0,200.0,61656.0
1593964800000,1191169,305.955,336.6399,305.9153,329.6886,23.5426,7.69,8.99,389555640.0,,
1594051200000,1429871,335.6468,342.3201,323.7304,324.6241,-5.0774,-1.54,10.8,474014104.0,,
1594137600000,1836052,323.7304,323.7304,308.0404,318.8546,-5.7785,-1.78,13.86,582162908.0,1326.0,425765.34
1594224000000,1623901,315.7861,325.5874,311.8239,319.2617,0.4145,0.13,12.26,519735055.0,1.0,321.5
1594310400000,876378,314.7633,321.4067,311.8139,314.9221,-4.342,-1.36,6.62,279054058.0,,
1594569600000,1261867,317.7722,323.7205,312.807,321.7443,6.8336,2.17,9.53,404773185.0,828.0,268272.0
1594656000000,1804424,321.7344,323.6013,298.686,304.9123,-16.827,-5.23,13.63,561302332.0,200.0,61410.0
1594742400000,1308649,306.8289,307.1864,285.0019,285.5282,-19.393,-6.36,9.88,386747545.0,,
1594828800000,1239617,284.0089,289.838,258.1899,258.1899,-27.3236,-9.57,9.36,340449456.0,,
1594915200000,790185,258.1899,264.9425,252.4303,260.1859,1.9881,0.77,5.97,206165813.0,,
1595174400000,884599,264.6446,274.0288,254.2177,273.3635,13.166,5.06,6.68,235558096.0,,
