timestamp,volume,open,high,low,close,chg,percent,turnoverrate,amount,volume_post,amount_post
1601222400000,17938997,176.1944,201.6324,171.2389,187.2616,122.1407,187.56,68.48,6066478345.0,2492.0,847529.0
1601308800000,6085674,192.7732,194.915,183.534,188.528,1.2733,0.68,23.25,2109143885.0,900.0,308160.0
1601395200000,3331983,183.3523,190.2349,179.944,181.8326,-6.6926,-3.55,12.57,1118288823.0,100.0,33024.0
1602172800000,3924558,182.251,199.2538,182.251,197.1174,15.2916,8.41,14.98,1360215543.0,100.0,35800.0
1602432000000,3246109,196.5558,209.2418,195.4656,208.6251,11.5114,5.84,12.35,1198765813.0,,
1602518400000,3240182,208.1296,243.8034,203.8404,220.9037,12.2875,5.89,12.33,1300834657.0,,
1602604800000,2542849,216.5098,256.0324,216.3887,249.9758,29.0711,13.16,9.64,1087429858.0,300.0,136200.0
1602691200000,2103149,244.4697,248.3239,231.3212,237.8844,-12.0992,-4.84,7.96,911507346.0,400.0,172816.0
1602777600000,1785449,235.4397,246.529,223.6072,235.9353,-1.9507,-0.82,6.81,754695258.0,,
1603036800000,1545132,237.8624,248.2138,231.8057,238.413,2.4773,1.05,5.83,675045093.0,100.0,43300.0
1603123200000,1293961,238.413,238.413,228.0616,236.2106,-2.1933,-0.92,4.91,549736124.0,300.0,128700.0
1603209600000,1490670,237.8073,250.5209,235.66,244.8496,8.6451,3.66,5.63,661580828.0,,
1603296000000,908348,240.9458,249.7005,235.0433,242.8179,-2.0323,-0.83,3.47,399387117.0,,
1603382400000,1465139,242.8179,243.2473,224.6809,228.5021,-14.3269,-5.9,5.59,620480510.0,,
1603641600000,1976005,225.8096,261.4724,225.749,250.5264,22.0273,9.64,7.55,878091695.0,,
1603728000000,1520382,248.3294,270.3482,245.5764,269.8417,19.3156,7.71,5.75,709474814.0,,
1603814400000,1646427,265.9489,272.7764,258.6203,259.5618,-10.281,-3.81,6.23,792167139.0,200.0,94282.0
1603900800000,1586244,256.583,275.4689,256.583,272.0826,12.5113,4.82,6.06,773288550.0,,
1603987200000,1109920,271.4494,278.6073,264.4017,265.3873,-6.6932,-2.46,4.22,546495607.0,200.0,96398.0
1604246400000,1336278,265.9709,280.8098,259.4022,280.7547,15.366,5.79,5.0,658014454.0,,
1604332800000,1646051,284.1134,317.9703,279.2626,301.2263,20.4673,7.29,6.28,886124255.0,,
1604419200000,1553116,301.6833,308.7806,290.1701,303.3847,2.1688,0.72,5.92,847148911.0,,
1604505600000,1167098,303.3847,308.3401,295.6762,301.9531,-1.4259,-0.47,4.45,641196648.0,,
1604592000000,1632925,300.1967,301.1822,282.0211,294.575,-7.3674,-2.44,6.21,862987695.0,400.0,214000.0
1604851200000,1578729,292.4331,316.0486,287.5602,303.8307,9.2498,3.14,6.01,865871689.0,,
1604937600000,1173820,300.081,305.5816,287.9677,301.7329,-2.0964,-0.69,4.46,632756917.0,100.0,54800.0
1605024000000,1690078,297.328,320.4535,289.9829,291.3154,-10.4095,-3.45,6.45,934533780.0,300.0,158724.0
1605110400000,1447105,293.4848,308.3401,286.872,305.8844,14.5659,5.0,5.48,780689268.0,,
1605196800000,1029265,305.9725,312.745,299.178,312.1393,6.2403,2.04,3.86,573269224.0,,
1605456000000,2995627,320.1837,365.6033,313.2461,357.3442,45.1987,14.48,11.44,1864068610.0,,
1605542400000,1502795,350.1918,352.3887,336.0852,344.6252,-12.7215,-3.56,5.74,939753522.0,100.0,62590.0
1605628800000,2982440,341.9272,349.6357,297.328,314.127,-30.4994,-8.85,11.36,1718013351.0,100.0,57051.0
1605715200000,1650572,308.8907,315.432,296.7774,309.992,-4.1466,-1.32,6.27,922279646.0,200.0,112600.0
1605801600000,1173716,307.5142,324.2252,307.0022,319.3688,9.3622,3.02,4.44,675264106.0,100.0,58003.0
1606060800000,1624538,317.1499,325.9596,301.4465,308.3401,-11.0178,-3.45,6.19,918416239.0,,
1606147200000,1804289,302.8341,305.4164,291.2713,293.9583,-14.368,-4.66,6.88,966797469.0,400.0,213552.0
1606233600000,1130140,293.9583,300.6371,287.4171,293.9142,-0.0294,-0.01,4.29,606485863.0,100.0,53380.0
1606320000000,888150,291.877,304.5299,291.877,296.7829,2.8802,0.98,3.37,480881603.0,100.0,53901.0
1606406400000,1342620,297.8786,301.9696,280.7933,284.1134,-12.6728,-4.27,5.1,704754974.0,100.0,51600.0
1606665600000,1768827,281.3659,283.6179,268.6964,279.4938,-4.6312,-1.63,6.76,888985117.0,,
1606752000000,1449463,278.0898,295.1256,278.0898,292.8681,13.3871,4.79,5.53,761226701.0,,
1606838400000,796632,292.9727,297.2729,287.9677,290.1701,-2.6944,-0.92,3.03,421826122.0,,
1606924800000,1567512,289.0689,317.5188,289.0689,313.2295,23.0679,7.95,5.96,871786911.0,,
1607011200000,937823,312.1889,322.6559,309.568,314.975,1.754,0.56,3.56,537788078.0,100.0,57205.0
1607270400000,1389589,312.745,334.1086,306.2478,328.0519,13.0717,4.15,5.32,823439991.0,,
1607356800000,1030920,328.1675,340.1597,323.8232,328.0519,0.0,0.0,3.92,621161325.0,,
1607443200000,1125604,328.162,328.7126,313.0864,313.0864,-14.9589,-4.56,4.29,653098746.0,,
1607529600000,1182162,311.6988,320.4535,309.992,319.8919,6.7942,2.17,4.51,677727152.0,200.0,116196.0
1607616000000,1410640,318.1795,335.7604,315.6687,330.3644,10.4608,3.27,5.32,839830653.0,,
1607875200000,1404838,331.8401,349.5751,326.5102,347.7031,17.3439,5.25,5.3,870813216.0,,
1607961600000,1463699,344.46,346.3321,328.6025,333.6626,-14.0475,-4.04,5.58,892963486.0,,
1608048000000,862771,334.2132,339.3724,329.2632,336.9717,3.3033,0.99,3.27,524898903.0,100.0,61200.0
1608134400000,869734,337.4673,343.0284,330.3644,332.7045,-4.2797,-1.27,3.3,527966777.0,100.0,60425.0
1608220800000,1360969,332.699,359.4971,330.9095,346.3376,13.6406,4.1,5.18,857157183.0,,
1608480000000,1292238,348.2812,366.7045,342.5934,357.4543,11.1174,3.21,4.91,833727151.0,,
1608566400000,1048741,353.4899,358.996,344.1296,349.0851,-8.3643,-2.34,4.0,666381435.0,100.0,63400.0
1608652800000,1016077,346.8882,357.7296,345.1482,355.6869,6.5978,1.89,3.88,646888823.0,,
1608739200000,1418057,354.6903,360.1523,333.145,339.2292,-16.4688,-4.63,5.38,883686594.0,100.0,61610.0
1608825600000,1261627,335.8705,340.7214,329.2632,335.3309,-3.9012,-1.15,4.8,762621315.0,100.0,60902.0
1609084800000,1135891,330.3644,343.9094,322.1604,343.0284,7.7123,2.3,4.27,691657502.0,,
1609171200000,973058,341.3766,344.8784,330.3975,336.9717,-6.0719,-1.77,3.71,596298427.0,,
1609257600000,967400,333.6956,352.3887,333.1175,349.498,12.535,3.72,3.67,609902565.0,,
1609344000000,1475082,352.8733,371.2195,352.8733,360.6589,11.1494,3.19,5.61,975012300.0,,
1609689600000,1469803,363.8909,395.3361,359.5521,388.872,28.2042,7.82,5.61,1023402283.0,100.0,70626.0
1609776000000,1857309,384.8746,410.8963,384.368,396.9879,8.1272,2.09,7.06,1338302628.0,200.0,144200.0
1609862400000,925075,391.4929,395.8757,385.4252,390.9312,-6.0742,-1.53,3.5,655556516.0,,
1609948800000,973623,394.7855,406.3483,390.9863,401.3928,10.4766,2.68,3.68,703796266.0,100.0,72900.0
1610035200000,852391,398.6398,407.4495,388.2112,400.231,-1.164,-0.29,3.23,613286257.0,,
1610294400000,1132911,400.231,418.6433,385.9813,395.3912,-4.8428,-1.21,4.32,824511212.0,,
1610380800000,1216834,389.2684,426.7207,386.5429,425.179,29.774,7.53,4.62,901386062.0,,
1610467200000,838052,422.0406,430.3878,410.7531,419.0122,-6.1651,-1.45,3.17,638106205.0,,
1610553600000,941082,418.4561,422.3159,395.8647,404.6964,-14.3307,-3.42,3.58,695933618.0,100.0,73500.0
1610640000000,954248,400.5614,403.9641,385.9703,395.8812,-8.8225,-2.18,3.63,681573741.0,,
1610899200000,811920,389.2794,403.4851,387.2697,394.7855,-1.1085,-0.28,3.08,583241475.0,100.0,71700.0
1610985600000,847490,389.8906,400.4402,381.0478,382.7217,-12.081,-3.06,3.18,601475496.0,200.0,139018.0
1611072000000,1250461,382.7217,415.7086,382.6721,410.7531,28.0163,7.32,4.75,917358373.0,,
1611158400000,864383,410.219,427.8164,409.1013,422.7233,11.9534,2.91,3.3,657115054.0,,
1611244800000,1481094,423.9732,459.0964,423.4171,451.4981,28.7866,6.81,5.66,1198360676.0,100.0,82000.0
1611504000000,1007529,452.5993,461.8935,441.042,454.8017,3.296,0.73,3.83,828470498.0,200.0,165200.0
1611590400000,808364,449.8462,451.4981,438.3385,440.4859,-14.3266,-3.15,3.07,650877500.0,,
1611676800000,928770,438.1183,444.3402,416.2592,434.4458,-6.0346,-1.37,3.54,722389480.0,,
1611763200000,779339,424.5238,434.7596,415.2406,416.2537,-18.2038,-4.19,2.96,600521445.0,,
1611849600000,1284108,423.9732,445.992,423.9677,436.3564,20.1049,4.83,4.89,1018070625.0,200.0,158500.0
1612108800000,1208676,439.7151,471.6448,428.5928,470.8079,34.4706,7.9,4.58,1004224591.0,100.0,85507.0
1612195200000,810595,465.2632,478.1475,459.7572,472.7956,1.9774,0.42,3.07,690818795.0,,
1612281600000,1457472,468.0218,513.1606,468.0163,493.3993,20.6135,4.36,5.55,1313732724.0,,
1612368000000,1303640,496.3781,517.4443,483.9178,511.5143,18.108,3.67,4.92,1185390716.0,,
1612454400000,977834,506.5588,510.0662,486.7094,497.7491,-13.7596,-2.69,3.7,884436352.0,100.0,90400.0
1612713600000,1450743,500.3975,537.8774,495.5467,499.4009,1.6426,0.33,5.51,1355386538.0,200.0,181400.0
1612800000000,2772695,525.1693,599.2811,525.1693,599.2811,99.8802,20.0,10.65,2889234317.0,,
